"name","id","collectionId","type","resourceClass","formate","filename","path"
"东汉绿釉铺首衔环陶壶-点云","DBT00949-asc-东汉绿釉铺首衔环陶壶","DBT00949","点云","点云","asc","1DHLY.asc","1-PointCloud/1.DBT00949-东汉绿釉铺首衔环陶壶/1DHLY.zip"
"春秋红陶罐-点云","DBT00948-asc-春秋红陶罐","DBT00948","点云","点云","asc","10CQHT.asc","1-PointCloud/10.DBT00948-春秋红陶罐/10CQHT.zip"
"清青花瓷罐-点云","DBC00100-asc-清青花瓷罐","DBC00100","点云","点云","asc","11QQHC-G.asc","1-PointCloud/11.DBC00100-清青花瓷罐/G/11QQHC-G.zip"
"清青花瓷罐-点云","DBC00100-asc-清青花瓷罐","DBC00100","点云","点云","asc","11QQHC-S.asc","1-PointCloud/11.DBC00100-清青花瓷罐/S/11QQHC-S.zip"
"明豆青釉瓷绣墩-点云","DBC00024-asc-明豆青釉瓷绣墩","DBC00024","点云","点云","asc","12MDQY.asc","1-PointCloud/12.DBC00024-明豆青釉瓷绣墩/12MDQY.zip"
"清鎏金铜佛-点云","DBJ00162-asc-清鎏金铜佛","DBJ00162","点云","点云","asc","Tile_2.asc","1-PointCloud/13.DBJ00162-清鎏金铜佛/Tile_2.zip"
"清仿商铜觚-点云","DBJ00151-asc-清仿商铜觚","DBJ00151","点云","点云","asc","14QFST.asc","1-PointCloud/14.DBJ00151-清仿商铜觚/14QFST.zip"
"东汉彩绘坐式男陶俑-点云","DBT00014-asc-东汉彩绘坐式男陶俑","DBT00014","点云","点云","asc","15DHCH.asc","1-PointCloud/15.DBT00014-东汉彩绘坐式男陶俑/15DHCH.zip"
"战国鎏金铜耳杯-点云","DBJ00028-asc-战国鎏金铜耳杯","DBJ00028","点云","点云","asc","16ZGLJ.asc","1-PointCloud/16.DBJ00028-战国鎏金铜耳杯/16ZGLJ.zip"
"清木质莲花灯-点云","DBM00169-asc-清木质莲花灯","DBM00169","点云","点云","asc","17QMZL.asc","1-PointCloud/17.DBM00169-清木质莲花灯/17QMZL.zip"
"东汉灰陶罐-点云","DBT00021-asc-东汉灰陶罐","DBT00021","点云","点云","asc","18DHHT.asc","1-PointCloud/18.DBT00021-东汉灰陶罐/18DHHT.zip"
"东汉彩绘陶盒-点云","DBT00010-asc-东汉彩绘陶盒","DBT00010","点云","点云","asc","19DHCT-G.asc","1-PointCloud/19.DBT00010-东汉彩绘陶盒/盖/19DHCT-G.zip"
"东汉彩绘陶盒-点云","DBT00010-asc-东汉彩绘陶盒","DBT00010","点云","点云","asc","19DHCT-S.asc","1-PointCloud/19.DBT00010-东汉彩绘陶盒/身/19DHCT-S.zip"
"元玉带钩-点云","DBY00007-asc-元玉带钩","DBY00007","点云","点云","asc","2YYDG.asc","1-PointCloud/2.DBY00007-元玉带钩/2YYDG.zip"
"东汉三组彩绘陶鼎-点云","DBT00009-asc-东汉三组彩绘陶鼎","DBT00009","点云","点云","asc","20DHSC-G.asc","1-PointCloud/20.DBT00009-东汉三组彩绘陶鼎/盖/20DHSC-G.zip"
"东汉三组彩绘陶鼎-点云","DBT00009-asc-东汉三组彩绘陶鼎","DBT00009","点云","点云","asc","20DHSC-S.asc","1-PointCloud/20.DBT00009-东汉三组彩绘陶鼎/身/20DHSC-S.zip"
"北魏灰陶男俑-点云","DBT00016-asc-北魏灰陶男俑","DBT00016","点云","点云","asc","21BWHT.asc","1-PointCloud/21.DBT00016-北魏灰陶男俑/21BWHT.zip"
"晋彩绘坐式女陶俑-点云","DBT00015-asc-晋彩绘坐式女陶俑","DBT00015","点云","点云","asc","20JCHZ.asc","1-PointCloud/22.DBT00015-晋彩绘坐式女陶俑/20JCHZ.zip"
