"name","id","collectionId","resourceClass","type","formate","filename","path"
"东汉绿釉铺首衔环陶壶-应用级模型","DBT00949-obj-东汉绿釉铺首衔环陶壶","DBT00949","应用级模型","三维模型","obj","1DHLY.obj","3-Application-levelModel/1.DBT00949-东汉绿釉铺首衔环陶壶/展示级/1DHLY.zip"
"春秋红陶罐-应用级模型","DBT00948-obj-春秋红陶罐","DBT00948","应用级模型","三维模型","obj","10CQHT.obj","3-Application-levelModel/10.DBT00948-春秋红陶罐/展示级/10CQHT.zip"
"清青花瓷罐-应用级模型","DBC00100-obj-清青花瓷罐","DBC00100","应用级模型","三维模型","obj","11QQHZG_G.obj","3-Application-levelModel/11.DBC00100-清青花瓷罐/展示级/G/11QQHZG_G.zip"
"清青花瓷罐-应用级模型","DBC00100-obj-清青花瓷罐","DBC00100","应用级模型","三维模型","obj","11QHCG_S.obj","3-Application-levelModel/11.DBC00100-清青花瓷罐/展示级/S/11QHCG_S.zip"
"清仿商铜觚-应用级模型","DBJ00151-obj-清仿商铜觚","DBJ00151","应用级模型","三维模型","obj","14QFST.obj","3-Application-levelModel/14.DBJ00151-清仿商铜觚/展示级/14QFST.zip"
"东汉彩绘坐式男陶俑-应用级模型","DBT00014-obj-东汉彩绘坐式男陶俑","DBT00014","应用级模型","三维模型","obj","15DHCH.obj","3-Application-levelModel/15.DBT00014-东汉彩绘坐式男陶俑/展示级/15DHCH.zip"
"战国鎏金铜耳杯-应用级模型","DBJ00028-obj-战国鎏金铜耳杯","DBJ00028","应用级模型","三维模型","obj","16ZGLJ.obj","3-Application-levelModel/16.DBJ00028-战国鎏金铜耳杯/展示级/16ZGLJ.zip"
"东汉灰陶罐-应用级模型","DBT00021-obj-东汉灰陶罐","DBT00021","应用级模型","三维模型","obj","18DHHT.obj","3-Application-levelModel/18.DBT00021-东汉灰陶罐/展示级/18DHHT.zip"
"东汉彩绘陶盒-应用级模型","DBT00010-obj-东汉彩绘陶盒","DBT00010","应用级模型","三维模型","obj","19DHCT.obj","3-Application-levelModel/19.DBT00010-东汉彩绘陶盒/展示级/19DHCT.zip"
"元玉带钩-应用级模型","DBY00007-obj-元玉带钩","DBY00007","应用级模型","三维模型","obj","2YYDG.obj","3-Application-levelModel/2.DBY00007-元玉带钩/展示级/2YYDG.zip"
"东汉三组彩绘陶鼎-应用级模型","DBT00009-obj-东汉三组彩绘陶鼎","DBT00009","应用级模型","三维模型","obj","20DHSZ.obj","3-Application-levelModel/20.DBT00009-东汉三组彩绘陶鼎/展示级/20DHSZ.zip"
"北魏灰陶男俑-应用级模型","DBT00016-obj-北魏灰陶男俑","DBT00016","应用级模型","三维模型","obj","21BWHT.obj","3-Application-levelModel/21.DBT00016-北魏灰陶男俑/展示级/21BWHT.zip"
"晋彩绘坐式女陶俑-应用级模型","DBT00015-obj-晋彩绘坐式女陶俑","DBT00015","应用级模型","三维模型","obj","22JCHZ.obj","3-Application-levelModel/22.DBT00015-晋彩绘坐式女陶俑/展示级/22JCHZ.zip"
"北魏陶灶-应用级模型","DBT00013-obj-北魏陶灶","DBT00013","应用级模型","三维模型","obj","23BWTZ.obj","3-Application-levelModel/23.DBT00013-北魏陶灶/展示级/23BWTZ.zip"
"战国铜矛-应用级模型","DBJ00153-obj-战国铜矛","DBJ00153","应用级模型","三维模型","obj","25ZGTM.obj","3-Application-levelModel/25.DBJ00153-战国铜矛/展示级/25ZGTM.zip"
"汉铜磬-应用级模型","DBJ00159-obj-汉铜磬","DBJ00159","应用级模型","三维模型","obj","27HTQ.obj","3-Application-levelModel/27.DBJ00159-汉铜磬/展示级/27HTQ.zip"
"清石磬-应用级模型","DBS00004-obj-清石磬","DBS00004","应用级模型","三维模型","obj","29QSQ.obj","3-Application-levelModel/29.DBS00004-清石磬/展示级/29QSQ.zip"
"明竹雕寿星-应用级模型","DBM00171-obj-明竹雕寿星","DBM00171","应用级模型","三维模型","obj","3MZDS.obj","3-Application-levelModel/3.DBM00171-明竹雕寿星/展示级/3MZDS.zip"
