"name","id","collectionId","type","resourceClass","formate","filename","path"
"东汉绿釉铺首衔环陶壶-存档级模型","DBT00949-wrp-东汉绿釉铺首衔环陶壶","DBT00949","三维模型","存档级模型","wrp","1DHLV.wrp","2-Archive-levelModel/1.DBT00949-东汉绿釉铺首衔环陶壶/1DHLV.zip"
"春秋红陶罐-存档级模型","DBT00948-wrp-春秋红陶罐","DBT00948","三维模型","存档级模型","wrp","10CQHT.wrp","2-Archive-levelModel/10.DBT00948-春秋红陶罐/10CQHT.zip"
"清青花瓷罐-存档级模型","DBC00100-wrp-清青花瓷罐","DBC00100","三维模型","存档级模型","wrp","11QQHC_G.wrp","2-Archive-levelModel/11.DBC00100-清青花瓷罐/盖/11QQHC_G.zip"
"清青花瓷罐-存档级模型","DBC00100-wrp-清青花瓷罐","DBC00100","三维模型","存档级模型","wrp","11QQHC_S.wrp","2-Archive-levelModel/11.DBC00100-清青花瓷罐/身/11QQHC_S.zip"
"明豆青釉瓷绣墩-存档级模型","DBC00024-wrp-明豆青釉瓷绣墩","DBC00024","三维模型","存档级模型","wrp","12MDQY.wrp","2-Archive-levelModel/12.DBC00024-明豆青釉瓷绣墩/12MDQY.zip"
"清鎏金铜佛-存档级模型","DBJ00162-wrp-清鎏金铜佛","DBJ00162","三维模型","存档级模型","wrp","13QLJTF.wrp","2-Archive-levelModel/13.DBJ00162-清鎏金铜佛/13QLJTF.zip"
"清仿商铜觚-存档级模型","DBJ00151-wrp-清仿商铜觚","DBJ00151","三维模型","存档级模型","wrp","14QFST.wrp","2-Archive-levelModel/14.DBJ00151-清仿商铜觚/14QFST.zip"
"东汉彩绘坐式男陶俑-存档级模型","DBT00014-wrp-东汉彩绘坐式男陶俑","DBT00014","三维模型","存档级模型","wrp","15DHCH.wrp","2-Archive-levelModel/15.DBT00014-东汉彩绘坐式男陶俑/15DHCH.zip"
"战国鎏金铜耳杯-存档级模型","DBJ00028-wrp-战国鎏金铜耳杯","DBJ00028","三维模型","存档级模型","wrp","16ZGLJ.wrp","2-Archive-levelModel/16.DBJ00028-战国鎏金铜耳杯/16ZGLJ.zip"
"清木质莲花灯-存档级模型","DBM00169-wrp-清木质莲花灯","DBM00169","三维模型","存档级模型","wrp","17QMZL.wrp","2-Archive-levelModel/17.DBM00169-清木质莲花灯/17QMZL.zip"
